Average,,,,,
e1 [1] - engr.,e2 [1] - engr.,gamma [1] - engr.,Time_0,Time,Pressure
2.25E-18,-2.25E-18,-0.0352886,62.3532,0,101605.56
-6.55E-07,-9.69E-05,-0.170686,67.3529,4.9997,101866.4974
4.32E-06,-9.76E-05,0.276395,72.3527,9.9995,101897.913
-1.00E-05,-0.000145669,0.222063,77.3524,14.9992,101830.6553
0.00507073,-0.000600463,-0.0430556,82.3533,20.0001,101732.0789
0.00420633,-0.000550364,-0.0454087,87.3529,24.9997,101645.8032
0.00350612,-0.000503496,-0.0446727,92.3525,29.9993,101560.6463
0.00297106,-0.000426841,-0.0462851,97.3524,34.9992,101491.2563
0.00252911,-0.000391973,-0.0448113,102.3529,39.9997,101434.4934
0.00217103,-0.000347995,-0.0462805,107.3526,44.9994,101390.9453
0.00189478,-0.000312059,-0.0430346,112.3524,49.9992,101357.5852
0.00166694,-0.000285656,-0.041691,117.3523,54.9991,101330.6451
0.00145829,-0.000281695,-0.0420004,122.3531,59.9999,101573.091
0.00132439,-0.000262955,-0.038166,127.3525,64.9993,101698.9535
0.00118284,-0.000245587,-0.0378682,132.3528,69.9996,101688.1318
0.00106551,-0.00022943,-0.0368694,137.3531,74.9999,101629.6408
0.00364311,-0.000575463,-0.0448616,142.3532,80,101560.02
0.00306517,-0.000521794,-0.0448537,147.3527,84.9995,101495.0067
0.00259413,-0.000474303,-0.0449192,152.3533,90.0001,101438.5233
0.00223307,-0.000440828,-0.0453322,157.3525,94.9993,101683.5602
0.00193534,-0.000403573,-0.0465147,162.3527,99.9995,101781.2182
0.00167603,-0.000367426,-0.0456364,167.3529,104.9997,101755.5537
0.00147078,-0.000351995,-0.0440895,172.353,109.9998,101679.6436
0.00403903,-0.00065756,-0.0443682,177.3534,115.0002,101606.2764
0.00340172,-0.000602092,-0.0448427,182.3524,119.9992,101531.0526
0.00285542,-0.000562681,-0.0454298,187.3526,124.9994,101685.5883
