Average,,,,,
e1 [1] - engr.,e2 [1] - engr.,gamma [1] - engr.,Time_0,Time,Pressure
2.06E-18,-2.06E-18,-0.0913593,12.5546,0,101808.78
4.15E-05,-0.000113332,-0.0253548,17.5548,5.0002,102019.6224
3.11E-05,-0.000104486,-0.295289,22.5546,10,102018.1692
3.74E-05,-0.00010128,-0.113508,27.5548,15.0002,101951.2783
7.47E-05,-7.58E-05,-0.146473,32.5549,20.0003,101873.3471
6.85E-05,-0.000100526,-0.143458,37.5547,25.0001,101806.2486
4.18E-05,-0.000137298,-0.0796824,42.5549,30.0003,101751.3564
2.61E-05,-0.000172483,-0.151417,47.5548,35.0002,101706.2579
0.00834581,-0.00137235,-0.0186963,52.5543,39.9997,101670.7721
0.00739704,-0.00129479,-0.0249941,57.5549,45.0003,101644.1282
0.00680592,-0.0011437,-0.0299344,62.5547,50.0001,101623.7794
0.00640128,-0.00101755,-0.0357195,67.5547,55.0001,102066.057
0.00607769,-0.00095783,-0.0413163,72.5552,60.0006,102219.0731
0.00581428,-0.000868015,-0.0450149,77.5549,65.0003,102175.7671
0.00551808,-0.00081004,-0.0472876,82.5548,70.0002,102082.8445
0.00527706,-0.000764729,-0.0520467,87.5545,74.9999,101972.1006
0.00511317,-0.000740573,-0.0552169,92.5546,80,101876.2401
0.00500582,-0.00069463,-0.0575774,97.555,85.0004,101799.4339
0.00489909,-0.000650048,-0.0589203,102.5548,90.0002,101741.3871
0.00936599,-0.00154335,-0.0131173,107.5552,95.0006,102085.1356
0.00833857,-0.00146339,-0.0180574,112.5551,100.0005,102317.5333
0.00749747,-0.00132525,-0.0241021,117.555,105.0004,102282.1848
0.00698781,-0.0012449,-0.0306183,122.5547,110.0001,102165.0984
0.00661708,-0.00111169,-0.0362352,127.5546,115,102051.3788
0.00625172,-0.00104812,-0.0413506,132.555,120.0004,101938.1918
0.00605117,-0.000994063,-0.0464731,137.5552,125.0006,101846.739
0.0057065,-0.000920355,-0.0489675,142.5555,130.0009,102171.9391
